event_time,event_type,affected_target_ids,affected_uav_ids,metadata
0.0,resource_shortage,"[1, 2, 3, 6, 9, 11, 17]",[],"{'source': 'initial_monte_carlo_resource_assessment', 'risky_cluster_ids': [2, 0, 1], 'completion_threshold': 0.8}"
600.0,target_appeared,[21],[],"{'description': 'New high-value target appeared during mission execution.', 'new_targets': [{'target_id': 21, 'x': 18500.0, 'y': -78000.0, 'target_type': 1, 'defense': 10.0, 'significance': 12.0}]}"
