time,event_types,replanning_count,destroyed_target_ids,disappeared_target_ids,damaged_uav_ids,available_target_count,available_uav_count,completed_cluster_count,total_cluster_count,metadata
510.0,[],2,[],[3],[11],19,40,0,3,"{'destroyed_this_step': [], 'cluster_status': {0: 'en_route', 1: 'en_route', 2: 'en_route'}, 'cluster_positions': {0: [-1.9765886801875594, -99200.00169511524], 1: [1.675481354958269, -99200.00036895898], 2: [11.434274674596118, -99200.0009574476]}, 'uav_status_counts': {'en_route': 6, 'available': 34, 'damaged': 1}}"
540.0,[],2,[],[3],[11],19,40,0,3,"{'destroyed_this_step': [], 'cluster_status': {0: 'en_route', 1: 'en_route', 2: 'en_route'}, 'cluster_positions': {0: [-2.726983571053426, -96800.00181366557], 1: [1.6591512459033178, -96800.0003692946], 2: [11.968047518323914, -96800.00101721633]}, 'uav_status_counts': {'en_route': 6, 'available': 34, 'damaged': 1}}"
570.0,[],2,[],[3],[11],19,40,0,3,"{'destroyed_this_step': [], 'cluster_status': {0: 'en_route', 1: 'en_route', 2: 'en_route'}, 'cluster_positions': {0: [-3.4773784619192925, -94400.0019322159], 1: [1.6428211368483665, -94400.00036963026], 2: [12.501820362051708, -94400.00107698506]}, 'uav_status_counts': {'en_route': 6, 'available': 34, 'damaged': 1}}"
600.0,[],2,[],[3],[11],19,40,0,3,"{'destroyed_this_step': [], 'cluster_status': {0: 'en_route', 1: 'en_route', 2: 'en_route'}, 'cluster_positions': {0: [-4.227773352785159, -92000.00205076624], 1: [1.6264910277934153, -92000.00036996591], 2: [13.035593205779502, -92000.0011367538]}, 'uav_status_counts': {'en_route': 6, 'available': 34, 'damaged': 1}}"
630.0,[],2,[],[3],[11],19,40,0,3,"{'destroyed_this_step': [], 'cluster_status': {0: 'en_route', 1: 'en_route', 2: 'en_route'}, 'cluster_positions': {0: [-4.978168243651025, -89600.00216931658], 1: [1.610160918738464, -89600.00037030155], 2: [13.569366049507298, -89600.00119652253]}, 'uav_status_counts': {'en_route': 6, 'available': 34, 'damaged': 1}}"
660.0,[],2,[],[3],[11],19,40,0,3,"{'destroyed_this_step': [], 'cluster_status': {0: 'en_route', 1: 'en_route', 2: 'en_route'}, 'cluster_positions': {0: [-5.728563134516891, -87200.00228786691], 1: [1.593830809683513, -87200.0003706372], 2: [14.103138893235094, -87200.00125629126]}, 'uav_status_counts': {'en_route': 6, 'available': 34, 'damaged': 1}}"
690.0,[],2,[],[3],[11],19,40,0,3,"{'destroyed_this_step': [], 'cluster_status': {0: 'en_route', 1: 'en_route', 2: 'en_route'}, 'cluster_positions': {0: [-6.478958025382758, -84800.00240641725], 1: [1.5775007006285617, -84800.00037097285], 2: [14.636911736962888, -84800.00131605999]}, 'uav_status_counts': {'en_route': 6, 'available': 34, 'damaged': 1}}"
720.0,[],2,[],[3],[11],19,40,0,3,"{'destroyed_this_step': [], 'cluster_status': {0: 'en_route', 1: 'en_route', 2: 'en_route'}, 'cluster_positions': {0: [-7.229352916248624, -82400.00252496758], 1: [1.5611705915736105, -82400.00037130849], 2: [15.170684580690683, -82400.00137582872]}, 'uav_status_counts': {'en_route': 6, 'available': 34, 'damaged': 1}}"
750.0,[],2,[],[3],[11],19,40,0,3,"{'destroyed_this_step': [], 'cluster_status': {0: 'en_route', 1: 'en_route', 2: 'en_route'}, 'cluster_positions': {0: [-7.9797478071144905, -80000.00264351792], 1: [1.5448404825186592, -80000.00037164413], 2: [15.704457424418479, -80000.00143559746]}, 'uav_status_counts': {'en_route': 6, 'available': 34, 'damaged': 1}}"
780.0,[],2,[],[3],[11],19,40,0,3,"{'destroyed_this_step': [], 'cluster_status': {0: 'en_route', 1: 'en_route', 2: 'en_route'}, 'cluster_positions': {0: [-8.730142697980357, -77600.00276206825], 1: [1.528510373463708, -77600.00037197978], 2: [16.238230268146275, -77600.00149536619]}, 'uav_status_counts': {'en_route': 6, 'available': 34, 'damaged': 1}}"
810.0,[],2,[],[3],[11],19,40,0,3,"{'destroyed_this_step': [], 'cluster_status': {0: 'en_route', 1: 'en_route', 2: 'en_route'}, 'cluster_positions': {0: [-9.480537588846223, -75200.00288061859], 1: [1.5121802644087567, -75200.00037231542], 2: [16.772003111874067, -75200.00155513492]}, 'uav_status_counts': {'en_route': 6, 'available': 34, 'damaged': 1}}"
840.0,[],2,[],[3],[11],19,40,0,3,"{'destroyed_this_step': [], 'cluster_status': {0: 'en_route', 1: 'en_route', 2: 'en_route'}, 'cluster_positions': {0: [-10.23093247971209, -72800.00299916892], 1: [1.4958501553538055, -72800.00037265106], 2: [17.305775955601863, -72800.00161490365]}, 'uav_status_counts': {'en_route': 6, 'available': 34, 'damaged': 1}}"
870.0,[],2,[],[3],[11],19,40,0,3,"{'destroyed_this_step': [], 'cluster_status': {0: 'en_route', 1: 'en_route', 2: 'en_route'}, 'cluster_positions': {0: [-10.981327370577956, -70400.00311771926], 1: [1.4795200462988545, -70400.00037298672], 2: [17.839548799329656, -70400.00167467238]}, 'uav_status_counts': {'en_route': 6, 'available': 34, 'damaged': 1}}"
900.0,[],2,[],[3],[11],19,40,0,3,"{'destroyed_this_step': [], 'cluster_status': {0: 'en_route', 1: 'en_route', 2: 'en_route'}, 'cluster_positions': {0: [-11.731722261443823, -68000.0032362696], 1: [1.4631899372439032, -68000.00037332237], 2: [18.37332164305745, -68000.00173444112]}, 'uav_status_counts': {'en_route': 6, 'available': 34, 'damaged': 1}}"
930.0,[],2,[],[3],[11],19,40,0,3,"{'destroyed_this_step': [], 'cluster_status': {0: 'en_route', 1: 'en_route', 2: 'en_route'}, 'cluster_positions': {0: [-12.482117152309689, -65600.00335481993], 1: [1.446859828188952, -65600.00037365801], 2: [18.907094486785248, -65600.00179420985]}, 'uav_status_counts': {'en_route': 6, 'available': 34, 'damaged': 1}}"
960.0,[],2,[],[3],[11],19,40,0,3,"{'destroyed_this_step': [], 'cluster_status': {0: 'en_route', 1: 'en_route', 2: 'en_route'}, 'cluster_positions': {0: [-13.232512043175555, -63200.00347337026], 1: [1.4305297191340007, -63200.00037399365], 2: [19.44086733051304, -63200.00185397858]}, 'uav_status_counts': {'en_route': 6, 'available': 34, 'damaged': 1}}"
990.0,[],2,[],[3],[11],19,40,0,3,"{'destroyed_this_step': [], 'cluster_status': {0: 'en_route', 1: 'en_route', 2: 'en_route'}, 'cluster_positions': {0: [-13.982906934041422, -60800.00359192059], 1: [1.4141996100790495, -60800.00037432929], 2: [19.974640174240832, -60800.001913747314]}, 'uav_status_counts': {'en_route': 6, 'available': 34, 'damaged': 1}}"
1020.0,[],2,[],[3],[11],19,40,0,3,"{'destroyed_this_step': [], 'cluster_status': {0: 'en_route', 1: 'en_route', 2: 'en_route'}, 'cluster_positions': {0: [-14.733301824907288, -58400.00371047092], 1: [1.3978695010240982, -58400.00037466493], 2: [20.50841301796863, -58400.001973516046]}, 'uav_status_counts': {'en_route': 6, 'available': 34, 'damaged': 1}}"
1050.0,[],2,[],[3],[11],19,40,0,3,"{'destroyed_this_step': [], 'cluster_status': {0: 'en_route', 1: 'en_route', 2: 'en_route'}, 'cluster_positions': {0: [-15.483696715773153, -56000.003829021254], 1: [1.381539391969147, -56000.00037500057], 2: [21.042185861696424, -56000.00203328478]}, 'uav_status_counts': {'en_route': 6, 'available': 34, 'damaged': 1}}"
