cluster_id,completion_probability,mean_completion_rate,std_completion_rate,quantile_05,quantile_50,quantile_95,threshold,threshold_passed,resource_sufficiency,support_required,recommended_support_type,details
0,0.0033333333333333335,0.527948717948718,0.10203463764966311,0.38461538461538464,0.5384615384615384,0.6923076923076923,0.8,False,insufficient,True,communication_support,"{'num_targets': 24, 'num_attack_uavs': 10, 'num_guide_uavs': 1, 'num_communication_uavs': 0, 'target_ids': [4, 5, 6, 12, 17, 22, 28, 29, 30, 33, 34, 36, 37, 39, 40, 67, 68, 106, 117, 136, 138, 147, 174, 196], 'assigned_attack_uav_ids': [12, 13, 14, 15, 16, 17, 18, 19, 20, 21], 'required_attack_uav_count': 10, 'resource_redundancy_ratio': 0.0, 'expected_surviving_attack_uavs': 9.566666666666666, 'expected_destroyed_value': 20.59, 'support_trigger_score': 0.47994871794871796, 'shortage_reasons': ['completion_probability_below_threshold', 'no_communication_uav']}"
1,0.0,0.49505747126436783,0.11836574893889491,0.3103448275862069,0.4827586206896552,0.6896551724137931,0.8,False,insufficient,True,fire_support,"{'num_targets': 19, 'num_attack_uavs': 9, 'num_guide_uavs': 1, 'num_communication_uavs': 0, 'target_ids': [7, 10, 11, 15, 16, 18, 24, 25, 31, 35, 43, 57, 104, 119, 128, 141, 149, 151, 167], 'assigned_attack_uav_ids': [22, 23, 24, 25, 26, 27, 28, 29, 30], 'required_attack_uav_count': 9, 'resource_redundancy_ratio': 0.0, 'expected_surviving_attack_uavs': 8.586666666666666, 'expected_destroyed_value': 14.356666666666667, 'support_trigger_score': 0.4914827586206897, 'shortage_reasons': ['completion_probability_below_threshold', 'no_communication_uav']}"
2,0.0,0.4790625,0.11932877049877787,0.28125,0.484375,0.65625,0.8,False,insufficient,True,fire_support,"{'num_targets': 18, 'num_attack_uavs': 7, 'num_guide_uavs': 1, 'num_communication_uavs': 0, 'target_ids': [1, 2, 8, 9, 13, 14, 19, 20, 21, 23, 26, 27, 32, 38, 89, 123, 124, 171], 'assigned_attack_uav_ids': [31, 32, 33, 34, 35, 36, 37], 'required_attack_uav_count': 7, 'resource_redundancy_ratio': 0.0, 'expected_surviving_attack_uavs': 6.66, 'expected_destroyed_value': 15.33, 'support_trigger_score': 0.49628125, 'shortage_reasons': ['completion_probability_below_threshold', 'no_communication_uav']}"
