clipped_reward,compactness,count_balance,count_std,empty_cluster_count,entropy,entropy_coef,episode,event_type,final_score,moving_avg_reward_20,moving_avg_reward_50,moving_avg_score_20,moving_avg_score_50,num_targets,policy_loss,raw_reward,scenario_id,total_reward,value_loss,workload_balance,workload_std
0.08767818755778928,0.8269194473760749,0.7642787314192173,2.981423969999719,0.0,5.635876178741455,0.01,1,target_removed,2.378371918241303,0.08767818755778928,0.08767818755778928,2.378371918241303,2.378371918241303,58,-0.1303277313709259,0.08767818755778928,1,0.08767818755778928,0.004264756105840206,0.7871737394460105,10.994948334980428
-0.015206540524957339,0.849242852995932,0.834131274006459,2.0548046676563256,0.0,5.696896553039551,0.009984,2,none,2.5030426441035276,0.036235823516415966,0.036235823516415966,2.4407072811724153,2.4407072811724153,62,-0.13064688444137573,-0.015206540524957339,2,-0.015206540524957339,0.0012061572633683681,0.8196685171011364,9.533566430716728
0.06972413468193205,0.8397741879730573,0.8087985095571408,2.285218200133681,0.0,5.627169132232666,0.009968,3,target_removed,2.4686845900002767,0.04739859390492133,0.04739859390492133,2.4500330507817023,2.4500330507817023,58,-0.10133907198905945,0.06972413468193205,3,0.06972413468193205,0.006497503723949194,0.8201118924700788,8.88350531415762
0.1604021225922186,0.8335959752728825,0.736238369410402,3.4034296427770228,0.0,5.597357273101807,0.009952,4,target_removed,2.318749387750646,0.07564947607674564,0.07564947607674564,2.4172121350239384,2.4172121350239384,57,-0.07798409461975098,0.1604021225922186,4,0.1604021225922186,0.006080477964133024,0.7489150430673617,13.634107557478375
0.009392634530690898,0.843350717925877,0.8473341440168218,1.7716909687891083,0.0,5.633110523223877,0.009936,5,target_removed,2.5544033336272287,0.0623981077675347,0.0623981077675347,2.4446503747445965,2.4446503747445965,59,-0.08632928133010864,0.009392634530690898,5,0.009392634530690898,0.016091840341687202,0.86371847168453,6.574360974438673
0.004577932378334967,0.825857673651346,0.8587490856455868,1.699673171197595,0.0,5.670636177062988,0.00992,6,none,2.47282711700682,0.052761411869334744,0.052761411869334744,2.449346498454967,2.449346498454967,62,-0.05937767028808594,0.004577932378334967,6,0.004577932378334967,0.013473586179316044,0.7882203577098869,11.642832797715322
-0.13697993281651244,0.8484763005039123,0.7862801764399246,2.808716591058786,0.0,5.662036418914795,0.009904,7,none,2.4312692518119725,0.02565550548564229,0.02565550548564229,2.446764034648825,2.446764034648825,62,-0.08951704949140549,-0.13697993281651244,7,-0.13697993281651244,0.0018626211676746607,0.7965127748681358,11.070481270277076
-0.07424033209891026,0.846121284627695,0.8014240374901033,2.560381915956203,0.0,5.656752586364746,0.009888000000000001,8,none,2.4640088525295747,0.013168525787573219,0.013168525787573219,2.4489196368839186,2.4489196368839186,62,-0.07909821718931198,-0.07424033209891026,8,-0.07424033209891026,0.006612327881157398,0.8164635304117762,9.741092797468305
0.21797735724715775,0.8247508351632635,0.7608473519710969,2.9860788111948193,0.0,5.5839314460754395,0.009872,9,target_removed,2.394142911660576,0.03592506261641595,0.03592506261641595,2.442833334081325,2.442833334081325,57,-0.06067495793104172,0.21797735724715775,9,0.21797735724715775,0.01770433411002159,0.8085447245262154,9.392668535736913
-0.01146133160549951,0.8500574131237267,0.8189001174918682,2.2852182001336816,0.0,5.645870685577393,0.009856,10,none,2.4967878530229854,0.0311864231942244,0.0311864231942244,2.448228785975491,2.448228785975491,62,-0.07256339490413666,-0.01146133160549951,10,-0.01146133160549951,0.004491808824241161,0.8278303224073906,9.012337223063849
0.01761036032844561,0.8388005646364433,0.8456808592742047,1.8856180831641267,0.0,5.637792110443115,0.00984,11,none,2.5358595449569306,0.02995223566097178,0.02995223566097178,2.4561952186101674,2.4561952186101674,62,-0.07603542506694794,0.01761036032844561,11,0.01761036032844561,0.0016000937903299928,0.8513781210462829,7.564537145273478
-0.21354714192939928,0.8495066885728931,0.7760812381271579,2.981423969999719,0.0,5.6341633796691895,0.009824,12,none,2.3947020426990857,0.009660620861774194,0.009660620861774194,2.451070787284244,2.451070787284244,62,-0.08065634965896606,-0.21354714192939928,12,-0.21354714192939928,0.014042266644537449,0.7691141159990347,13.008544200725238
-0.021243561205931447,0.8387462126103767,0.8142666276972232,2.357022603955158,0.0,5.626236915588379,0.009808,13,none,2.5070056234225535,0.007283376087335298,0.007283376087335298,2.455373466987191,2.455373466987191,62,-0.06863924860954285,-0.021243561205931447,13,-0.021243561205931447,0.013741928152740002,0.8539927831149535,7.408703590297622
0.28865086721988287,0.8264150737366694,0.8947042371559101,1.118033988749895,0.0,5.545412540435791,0.009792,14,target_removed,2.567947844714289,0.02738105402537441,0.02738105402537441,2.4634144939676976,2.4634144939676976,57,-0.05507390946149826,0.28865086721988287,14,0.28865086721988287,0.027024466544389725,0.8468285338217092,7.295356209413097
0.01468350784365443,0.8399576652820454,0.7752706439563429,2.753785273643051,0.0,5.533172130584717,0.009776,15,target_removed,2.4246778568021194,0.026534550946593075,0.026534550946593075,2.4608320514899926,2.4608320514899926,57,-0.07881239801645279,0.01468350784365443,15,0.01468350784365443,0.012105811387300491,0.8094495475637312,9.41629792788369
0.1169285615957015,0.8588134969365807,0.834131274006459,2.054804667656325,0.0,5.607505798339844,0.00976,16,none,2.5351777462241865,0.03218417661216235,0.03218417661216235,2.4654786574108796,2.4654786574108796,62,-0.0662468671798706,0.1169285615957015,16,0.1169285615957015,0.003043268108740449,0.8422329752811467,8.117197107923948
-0.024962994948017958,0.8441351523749383,0.8039684367331241,2.3570226039551585,0.0,5.547464370727539,0.009744000000000001,17,target_removed,2.4550175365358236,0.02882257828509292,0.02882257828509292,2.4648632973594053,2.4648632973594053,58,-0.0760522186756134,-0.024962994948017958,17,-0.024962994948017958,0.016222547739744186,0.806913947427761,9.770988804733236
