episode,cluster_id,ordered_target_ids,total_path_distance,total_reward,num_steps,num_updates,mean_loss,random_action_count,greedy_action_count,random_action_ratio,invalid_or_no_action_count,done,is_best_episode,epsilon_after_episode,best_reward_so_far,global_env_steps,replay_buffer_size,latest_checkpoint_path,best_checkpoint_path,extra
25,3,"[14, 15, 13, 16]",111.82161863567384,25.152774105723537,4,1,48.37614440917969,4,0,1.0,0,True,False,0.9683333333333334,28.96805205102506,100,100,F:\项目\专利\uav_dynamic_task_allocation\checkpoints\strike_order_dqn\latest.pt,,
26,3,"[16, 13, 14, 15]",129.87119698877768,23.410994688521882,4,4,44.930861473083496,4,0,1.0,0,True,False,0.9670666666666666,28.96805205102506,104,104,F:\项目\专利\uav_dynamic_task_allocation\checkpoints\strike_order_dqn\latest.pt,,
27,2,"[11, 10, 12, 9]",235.83084665930656,17.222833069185704,4,4,30.511581420898438,4,0,1.0,0,True,False,0.9658,28.96805205102506,108,108,F:\项目\专利\uav_dynamic_task_allocation\checkpoints\strike_order_dqn\latest.pt,,
28,4,"[19, 17, 20, 18]",193.25430480962262,20.112843240011067,4,4,46.55090522766113,4,0,1.0,0,True,False,0.9645333333333334,28.96805205102506,112,112,F:\项目\专利\uav_dynamic_task_allocation\checkpoints\strike_order_dqn\latest.pt,,
29,2,"[11, 12, 10, 9]",261.0397354340567,16.765016255007843,4,4,37.67318534851074,4,0,1.0,0,True,False,0.9632666666666667,28.96805205102506,116,116,F:\项目\专利\uav_dynamic_task_allocation\checkpoints\strike_order_dqn\latest.pt,,
30,2,"[11, 12, 9, 10]",271.1131172714322,16.43930813433778,4,4,33.366455078125,4,0,1.0,0,True,False,0.962,28.96805205102506,120,120,F:\项目\专利\uav_dynamic_task_allocation\checkpoints\strike_order_dqn\latest.pt,,
31,2,"[10, 12, 9, 11]",205.11603076518864,17.944549681546867,4,4,27.013951301574707,4,0,1.0,0,True,False,0.9607333333333333,28.96805205102506,124,124,F:\项目\专利\uav_dynamic_task_allocation\checkpoints\strike_order_dqn\latest.pt,,
32,1,"[8, 7, 6, 5]",205.96063837527936,18.35880911510536,4,4,25.135926246643066,4,0,1.0,0,True,False,0.9594666666666667,28.96805205102506,128,128,F:\项目\专利\uav_dynamic_task_allocation\checkpoints\strike_order_dqn\latest.pt,,
33,0,"[4, 3, 2, 1]",143.75447345561832,27.15430895066569,4,4,20.039056301116943,4,0,1.0,0,True,False,0.9582,28.96805205102506,132,132,F:\项目\专利\uav_dynamic_task_allocation\checkpoints\strike_order_dqn\latest.pt,,
34,2,"[12, 9, 11, 10]",219.43660454395496,18.160657389833798,4,4,16.03202795982361,4,0,1.0,0,True,False,0.9569333333333333,28.96805205102506,136,136,F:\项目\专利\uav_dynamic_task_allocation\checkpoints\strike_order_dqn\latest.pt,,
35,4,"[19, 20, 18, 17]",234.92330897191087,18.895260756703138,4,4,16.144944190979004,4,0,1.0,0,True,False,0.9556666666666667,28.96805205102506,140,140,F:\项目\专利\uav_dynamic_task_allocation\checkpoints\strike_order_dqn\latest.pt,,
36,0,"[1, 4, 2, 3]",206.7403547972916,18.215412751780594,4,4,14.448941707611084,4,0,1.0,0,True,False,0.9544,28.96805205102506,144,144,F:\项目\专利\uav_dynamic_task_allocation\checkpoints\strike_order_dqn\latest.pt,,
37,4,"[18, 17, 19, 20]",232.39161122049092,17.233086606012673,4,4,13.965821743011475,3,1,0.75,0,True,False,0.9531333333333334,28.96805205102506,148,148,F:\项目\专利\uav_dynamic_task_allocation\checkpoints\strike_order_dqn\latest.pt,,
38,4,"[20, 17, 18, 19]",189.9340880498527,19.658905061061823,4,4,11.782221794128418,4,0,1.0,0,True,False,0.9518666666666666,28.96805205102506,152,152,F:\项目\专利\uav_dynamic_task_allocation\checkpoints\strike_order_dqn\latest.pt,,
39,1,"[7, 8, 6, 5]",211.72388882051166,19.50106546878895,4,4,11.410866260528564,4,0,1.0,0,True,False,0.9506,28.96805205102506,156,156,F:\项目\专利\uav_dynamic_task_allocation\checkpoints\strike_order_dqn\latest.pt,,
40,3,"[13, 16, 15, 14]",116.10182393712081,26.366462669072508,4,4,12.72771430015564,4,0,1.0,0,True,False,0.9493333333333334,28.96805205102506,160,160,F:\项目\专利\uav_dynamic_task_allocation\checkpoints\strike_order_dqn\latest.pt,,
41,0,"[4, 2, 3, 1]",184.447053556711,21.064568425993755,4,4,11.858782291412354,3,1,0.75,0,True,False,0.9480666666666666,28.96805205102506,164,164,F:\项目\专利\uav_dynamic_task_allocation\checkpoints\strike_order_dqn\latest.pt,,
42,3,"[15, 14, 16, 13]",127.77947310830064,24.393920000598463,4,4,10.189729690551758,4,0,1.0,0,True,False,0.9468,28.96805205102506,168,168,F:\项目\专利\uav_dynamic_task_allocation\checkpoints\strike_order_dqn\latest.pt,,
43,3,"[15, 16, 13, 14]",127.49083268112011,24.354924389981292,4,4,10.973187923431396,3,1,0.75,0,True,False,0.9455333333333333,28.96805205102506,172,172,F:\项目\专利\uav_dynamic_task_allocation\checkpoints\strike_order_dqn\latest.pt,,
44,1,"[6, 7, 8, 5]",195.34010858606229,19.009731234393062,4,4,8.89895248413086,4,0,1.0,0,True,False,0.9442666666666667,28.96805205102506,176,176,F:\项目\专利\uav_dynamic_task_allocation\checkpoints\strike_order_dqn\latest.pt,,
45,0,"[1, 3, 4, 2]",181.66116066125574,24.446168855463334,4,4,10.93304705619812,4,0,1.0,0,True,False,0.9430000000000001,28.96805205102506,180,180,F:\项目\专利\uav_dynamic_task_allocation\checkpoints\strike_order_dqn\latest.pt,,
46,4,"[18, 19, 17, 20]",167.02934433216726,20.107176118349543,4,4,10.314888834953308,4,0,1.0,0,True,False,0.9417333333333333,28.96805205102506,184,184,F:\项目\专利\uav_dynamic_task_allocation\checkpoints\strike_order_dqn\latest.pt,,
47,2,"[11, 9, 10, 12]",227.06994610847113,17.83864149511276,4,4,9.84941291809082,4,0,1.0,0,True,False,0.9404666666666667,28.96805205102506,188,188,F:\项目\专利\uav_dynamic_task_allocation\checkpoints\strike_order_dqn\latest.pt,,
48,4,"[20, 17, 18, 19]",189.9340880498527,19.658905061061823,4,4,9.314114332199097,4,0,1.0,0,True,False,0.9392,28.96805205102506,192,192,F:\项目\专利\uav_dynamic_task_allocation\checkpoints\strike_order_dqn\latest.pt,,
49,3,"[16, 14, 13, 15]",138.62182604125803,23.14538201421629,4,4,9.481526136398315,4,0,1.0,0,True,False,0.9379333333333333,28.96805205102506,196,196,F:\项目\专利\uav_dynamic_task_allocation\checkpoints\strike_order_dqn\latest.pt,,
50,3,"[15, 13, 16, 14]",110.72440362060973,26.524306284948956,4,4,12.983135104179382,4,0,1.0,0,True,False,0.9366666666666666,28.96805205102506,200,200,F:\项目\专利\uav_dynamic_task_allocation\checkpoints\strike_order_dqn\latest.pt,,
51,3,"[13, 16, 14, 15]",123.25600894347023,26.004300419945153,4,4,28.376222610473633,4,0,1.0,0,True,False,0.9354,28.96805205102506,204,204,F:\项目\专利\uav_dynamic_task_allocation\checkpoints\strike_order_dqn\latest.pt,,
52,0,"[3, 1, 2, 4]",214.23523660460614,18.686774238974937,4,4,21.646230220794678,4,0,1.0,0,True,False,0.9341333333333334,28.96805205102506,208,208,F:\项目\专利\uav_dynamic_task_allocation\checkpoints\strike_order_dqn\latest.pt,,
53,1,"[5, 6, 7, 8]",176.18593953275735,28.57149701761014,4,4,14.42313551902771,4,0,1.0,0,True,False,0.9328666666666666,28.96805205102506,212,212,F:\项目\专利\uav_dynamic_task_allocation\checkpoints\strike_order_dqn\latest.pt,,
54,2,"[9, 10, 12, 11]",260.3761478678348,16.803658039314836,4,4,9.973237991333008,4,0,1.0,0,True,False,0.9316,28.96805205102506,216,216,F:\项目\专利\uav_dynamic_task_allocation\checkpoints\strike_order_dqn\latest.pt,,
55,2,"[12, 11, 10, 9]",285.2494774767701,16.522889484125713,4,4,4.984442710876465,3,1,0.75,0,True,False,0.9303333333333333,28.96805205102506,220,220,F:\项目\专利\uav_dynamic_task_allocation\checkpoints\strike_order_dqn\latest.pt,,
56,0,"[3, 1, 4, 2]",220.49059867947204,18.551929457260478,4,4,8.58526611328125,4,0,1.0,0,True,False,0.9290666666666667,28.96805205102506,224,224,F:\项目\专利\uav_dynamic_task_allocation\checkpoints\strike_order_dqn\latest.pt,,
57,2,"[11, 10, 9, 12]",277.7473121039117,16.332982282912475,4,4,6.134357690811157,4,0,1.0,0,True,False,0.9278,28.96805205102506,228,228,F:\项目\专利\uav_dynamic_task_allocation\checkpoints\strike_order_dqn\latest.pt,,
58,0,"[2, 3, 1, 4]",225.8577246625569,18.535825410496376,4,4,5.204580128192902,4,0,1.0,0,True,False,0.9265333333333333,28.96805205102506,232,232,F:\项目\专利\uav_dynamic_task_allocation\checkpoints\strike_order_dqn\latest.pt,,
59,3,"[13, 16, 14, 15]",123.25600894347023,26.004300419945153,4,4,4.166626214981079,3,1,0.75,0,True,False,0.9252666666666667,28.96805205102506,236,236,F:\项目\专利\uav_dynamic_task_allocation\checkpoints\strike_order_dqn\latest.pt,,
60,3,"[14, 15, 13, 16]",111.82161863567384,25.152774105723537,4,4,4.1893898248672485,4,0,1.0,0,True,False,0.924,28.96805205102506,240,240,F:\项目\专利\uav_dynamic_task_allocation\checkpoints\strike_order_dqn\latest.pt,,
61,4,"[20, 17, 19, 18]",163.52770884030468,20.317524759490777,4,4,3.47488135099411,4,0,1.0,0,True,False,0.9227333333333334,28.96805205102506,244,244,F:\项目\专利\uav_dynamic_task_allocation\checkpoints\strike_order_dqn\latest.pt,,
62,3,"[16, 13, 15, 14]",105.95058292191784,25.942538832616897,4,4,2.3597714006900787,4,0,1.0,0,True,False,0.9214666666666667,28.96805205102506,248,248,F:\项目\专利\uav_dynamic_task_allocation\checkpoints\strike_order_dqn\latest.pt,,
63,1,"[5, 8, 7, 6]",149.2377467868531,30.0298134782743,4,4,4.179760277271271,2,2,0.5,0,True,True,0.9202,30.0298134782743,252,252,F:\项目\专利\uav_dynamic_task_allocation\checkpoints\strike_order_dqn\latest.pt,F:\项目\专利\uav_dynamic_task_allocation\checkpoints\strike_order_dqn\best.pt,
64,4,"[18, 20, 17, 19]",214.19110404347458,17.842379858645714,4,4,2.1320507526397705,3,1,0.75,0,True,False,0.9189333333333334,30.0298134782743,256,256,F:\项目\专利\uav_dynamic_task_allocation\checkpoints\strike_order_dqn\latest.pt,,
65,2,"[9, 10, 11, 12]",291.9497859907885,16.04921979258283,4,4,1.9084346890449524,4,0,1.0,0,True,False,0.9176666666666666,30.0298134782743,260,260,F:\项目\专利\uav_dynamic_task_allocation\checkpoints\strike_order_dqn\latest.pt,,
66,1,"[7, 8, 6, 5]",211.72388882051166,19.50106546878895,4,4,1.2634156346321106,4,0,1.0,0,True,False,0.9164,30.0298134782743,264,264,F:\项目\专利\uav_dynamic_task_allocation\checkpoints\strike_order_dqn\latest.pt,,
67,4,"[17, 20, 19, 18]",170.67585144740272,20.153977949194896,4,4,2.0963092148303986,4,0,1.0,0,True,False,0.9151333333333334,30.0298134782743,268,268,F:\项目\专利\uav_dynamic_task_allocation\checkpoints\strike_order_dqn\latest.pt,,
68,1,"[5, 6, 8, 7]",195.111475717931,28.275550238879774,4,4,1.8061966300010681,4,0,1.0,0,True,False,0.9138666666666666,30.0298134782743,272,272,F:\项目\专利\uav_dynamic_task_allocation\checkpoints\strike_order_dqn\latest.pt,,
69,0,"[3, 1, 2, 4]",214.23523660460614,18.686774238974937,4,4,1.051766887307167,4,0,1.0,0,True,False,0.9126,30.0298134782743,276,276,F:\项目\专利\uav_dynamic_task_allocation\checkpoints\strike_order_dqn\latest.pt,,
