episode,total_reward,num_steps,num_updates,mean_loss,random_action_count,greedy_action_count,random_action_ratio,invalid_or_no_action_count,done,is_best_episode,epsilon_after_episode,best_reward_so_far,global_env_steps,replay_buffer_size,latest_checkpoint_path,best_checkpoint_path,extra
26,-11.505550789514459,20,20,0.10897581707686185,18,2,0.9,0,True,False,0.9012,-9.194924828317857,520,520,F:\项目\专利\uav_dynamic_task_allocation\checkpoints\dqn\latest.pt,,
27,-12.27385608287503,20,20,0.0963494809344411,18,2,0.9,0,True,False,0.8974,-9.194924828317857,540,540,F:\项目\专利\uav_dynamic_task_allocation\checkpoints\dqn\latest.pt,,
28,-9.965845230424518,20,20,0.1112408071756363,19,1,0.95,0,True,False,0.8936,-9.194924828317857,560,560,F:\项目\专利\uav_dynamic_task_allocation\checkpoints\dqn\latest.pt,,
29,-11.504298212595824,20,20,0.12238562256097793,18,2,0.9,0,True,False,0.8898,-9.194924828317857,580,580,F:\项目\专利\uav_dynamic_task_allocation\checkpoints\dqn\latest.pt,,
30,-9.955651893005689,20,20,0.06926540974527598,18,2,0.9,0,True,False,0.886,-9.194924828317857,600,600,F:\项目\专利\uav_dynamic_task_allocation\checkpoints\dqn\latest.pt,,
31,-10.734238136752156,20,20,0.08371288110502065,17,3,0.85,0,True,False,0.8822,-9.194924828317857,620,620,F:\项目\专利\uav_dynamic_task_allocation\checkpoints\dqn\latest.pt,,
32,-11.501760053833697,20,20,0.11574281919747591,16,4,0.8,0,True,False,0.8784,-9.194924828317857,640,640,F:\项目\专利\uav_dynamic_task_allocation\checkpoints\dqn\latest.pt,,
33,-11.503814897503679,20,20,0.12015784215182065,16,4,0.8,0,True,False,0.8746,-9.194924828317857,660,660,F:\项目\专利\uav_dynamic_task_allocation\checkpoints\dqn\latest.pt,,
34,-9.196989981963831,20,20,0.1167614920064807,17,3,0.85,0,True,False,0.8708,-9.194924828317857,680,680,F:\项目\专利\uav_dynamic_task_allocation\checkpoints\dqn\latest.pt,,
35,-11.49612708493854,20,20,0.09903636183589697,16,4,0.8,0,True,False,0.867,-9.194924828317857,700,700,F:\项目\专利\uav_dynamic_task_allocation\checkpoints\dqn\latest.pt,,
36,-10.723407100324708,20,20,0.1172000052407384,19,1,0.95,0,True,False,0.8632,-9.194924828317857,720,720,F:\项目\专利\uav_dynamic_task_allocation\checkpoints\dqn\latest.pt,,
37,-11.504744848557454,20,20,0.13402401711791753,14,6,0.7,0,True,False,0.8594,-9.194924828317857,740,740,F:\项目\专利\uav_dynamic_task_allocation\checkpoints\dqn\latest.pt,,
38,-10.726276873522584,20,20,0.14850595332682132,18,2,0.9,0,True,False,0.8556,-9.194924828317857,760,760,F:\项目\专利\uav_dynamic_task_allocation\checkpoints\dqn\latest.pt,,
39,-10.736635908892469,20,20,0.14155763499438762,15,5,0.75,0,True,False,0.8518,-9.194924828317857,780,780,F:\项目\专利\uav_dynamic_task_allocation\checkpoints\dqn\latest.pt,,
40,-10.735191062811836,20,20,0.17964741569012405,18,2,0.9,0,True,False,0.848,-9.194924828317857,800,800,F:\项目\专利\uav_dynamic_task_allocation\checkpoints\dqn\latest.pt,,
41,-12.268640807573759,20,20,0.1551537375897169,16,4,0.8,0,True,False,0.8442000000000001,-9.194924828317857,820,820,F:\项目\专利\uav_dynamic_task_allocation\checkpoints\dqn\latest.pt,,
42,-12.271481509923383,20,20,0.12452961206436157,18,2,0.9,0,True,False,0.8404,-9.194924828317857,840,840,F:\项目\专利\uav_dynamic_task_allocation\checkpoints\dqn\latest.pt,,
43,-11.502442213716487,20,20,0.13136769477277993,18,2,0.9,0,True,False,0.8366,-9.194924828317857,860,860,F:\项目\专利\uav_dynamic_task_allocation\checkpoints\dqn\latest.pt,,
44,-12.274157052896689,20,20,0.15659611038863658,15,5,0.75,0,True,False,0.8328,-9.194924828317857,880,880,F:\项目\专利\uav_dynamic_task_allocation\checkpoints\dqn\latest.pt,,
45,-12.260356614652368,20,20,0.10908636841922999,16,4,0.8,0,True,False,0.829,-9.194924828317857,900,900,F:\项目\专利\uav_dynamic_task_allocation\checkpoints\dqn\latest.pt,,
46,-10.72486783888369,20,20,0.10787491304799915,15,5,0.75,0,True,False,0.8252,-9.194924828317857,920,920,F:\项目\专利\uav_dynamic_task_allocation\checkpoints\dqn\latest.pt,,
47,-13.80998704398844,20,20,0.11523523237556219,18,2,0.9,0,True,False,0.8214,-9.194924828317857,940,940,F:\项目\专利\uav_dynamic_task_allocation\checkpoints\dqn\latest.pt,,
48,-12.273414502638971,20,20,0.19363284222781657,14,6,0.7,0,True,False,0.8176,-9.194924828317857,960,960,F:\项目\专利\uav_dynamic_task_allocation\checkpoints\dqn\latest.pt,,
49,-9.194228066397764,20,20,0.15322373621165752,12,8,0.6,0,True,True,0.8138,-9.194228066397764,980,980,F:\项目\专利\uav_dynamic_task_allocation\checkpoints\dqn\latest.pt,F:\项目\专利\uav_dynamic_task_allocation\checkpoints\dqn\best.pt,
50,-11.504198969091131,20,20,0.11661761105060578,17,3,0.85,0,True,False,0.81,-9.194228066397764,1000,1000,F:\项目\专利\uav_dynamic_task_allocation\checkpoints\dqn\latest.pt,,
