event_time,event_type,affected_target_ids,affected_uav_ids,metadata
0.0,resource_shortage,"[1, 2, 3, 6, 9, 11, 17]",[],"{'source': 'initial_monte_carlo_resource_assessment', 'risky_cluster_ids': [2, 0, 1], 'completion_threshold': 0.8}"
600.0,attack_uav_destroyed,[],[11],{'description': 'Attack UAV 11 was destroyed.'}
900.0,guide_uav_destroyed,[],[5],{'description': 'Recon/guide UAV 5 was destroyed.'}
1200.0,communication_uav_destroyed,[],[6],{'description': 'Communication UAV 6 was destroyed.'}
