target_id,score,raw_score,target_type,raw_defense,raw_significance,adjusted_defense,adjusted_significance,distance_to_reference,normalized_distance,angle,affected_by_defense_posts,is_selected
1,1.0,41.730940192091595,2,4.0,2.0,4.0,2.0199999999999996,53.0,0.4397674483413435,-1.014197008784674,[],True
3,0.9510709098838624,41.34881865946262,2,3.0,2.0,3.0,2.0199999999999996,54.67174773134658,0.461524376019105,0.6947382761967031,[],True
2,0.7671936587639193,39.912792425441545,2,4.0,2.0,4.0,2.0299999999999994,74.00675644831355,0.7131594633089152,0.013512691013328216,[],True
9,0.5161453258557525,37.952180169887306,1,2.0,1.0,2.0,1.0,29.832867780352597,0.13825926576525455,1.3339475658479765,[],True
11,0.49214450392205644,37.764740942223554,1,1.0,1.0,1.0,1.0,19.209372712298546,0.0,-0.6747409422235526,[],True
6,0.40730716988191756,37.10218678414241,1,2.0,1.0,2.0,1.0,43.41658669218482,0.3150443060067746,1.0659349551357702,[],True
17,0.3716637387123866,36.823822266953805,1,1.0,1.0,4.0,1.0,48.877397639399746,0.3861139217225277,-1.033885584054851,[1],True
19,0.3627666341798436,36.75433854649496,1,1.0,1.0,1.0,1.0,33.24154027718932,0.18262136633835613,0.2741674511196588,[],True
5,0.33491034530401564,36.53678927727043,1,2.0,1.0,2.0,1.0,42.04759208325728,0.2972275528333217,-0.4423742229767449,[],True
4,0.28559963306860725,36.151687390239715,1,2.0,1.0,3.0,1.0,51.884487084291386,0.4252496276345483,0.48088728019533583,[3],True
18,0.27838790199473573,36.09536593148553,1,1.0,1.0,3.0,1.0,56.61271941887264,0.4867851135324568,0.6223028711872075,[3],True
8,0.25619058752933077,35.92201155674374,1,2.0,1.0,4.0,1.0,65.85590330410783,0.6070803467979001,-0.8391098927006809,[1],True
15,0.24909787177204118,35.86661957195015,1,1.0,1.0,1.0,1.0,51.78802950489621,0.4239942823814805,-0.1746721990082397,[],True
13,0.19648512765103002,35.455729805318136,1,1.0,1.0,4.0,1.0,60.8276253029822,0.541639922526441,0.16514867741462683,[2],True
7,0.16893184956150398,35.24054695954007,1,2.0,1.0,4.0,1.0,68.15423684555495,0.6369919630681135,-0.252095980668074,[2],True
12,0.15683950062831092,35.14610933773945,1,1.0,1.0,1.0,1.0,79.32212806020776,0.7823362616810337,0.5880026035475675,[],True
20,0.14353883890926247,35.04223515514177,1,1.0,1.0,1.0,1.0,79.64923100695951,0.7865933364909561,-0.4973427163468224,[],True
16,0.09358244600935495,34.652090695593934,1,1.0,1.0,4.0,1.0,82.46211251235322,0.8232015270279744,0.24497866312686414,[2],True
14,0.0753350354524533,34.50958388682306,1,1.0,1.0,1.0,1.0,88.54377448471462,0.9023511960911879,-0.3217505543966422,[],True
10,0.0,33.92123983343027,1,1.0,1.0,1.0,1.0,96.04686356149273,1.0,0.031239833430268277,[],True
