cluster_id,completion_probability,mean_completion_rate,std_completion_rate,quantile_05,quantile_50,quantile_95,threshold,threshold_passed,resource_sufficiency,support_required,recommended_support_type,details
0,0.15666666666666668,0.4716666666666667,0.3136301785365829,0.0,0.5,1.0,0.8,False,insufficient,True,fire_support,"{'num_targets': 3, 'num_attack_uavs': 1, 'num_guide_uavs': 1, 'num_communication_uavs': 0, 'target_ids': [1, 11, 17], 'assigned_attack_uav_ids': [12]}"
1,0.5733333333333334,0.5733333333333334,0.4945929864264375,0.0,1.0,1.0,0.8,False,insufficient,True,communication_support,"{'num_targets': 1, 'num_attack_uavs': 1, 'num_guide_uavs': 1, 'num_communication_uavs': 0, 'target_ids': [2], 'assigned_attack_uav_ids': [13]}"
2,0.36666666666666664,0.6116666666666667,0.3391615478729208,0.0,0.5,1.0,0.8,False,insufficient,True,communication_support,"{'num_targets': 2, 'num_attack_uavs': 1, 'num_guide_uavs': 1, 'num_communication_uavs': 0, 'target_ids': [6, 9], 'assigned_attack_uav_ids': [14]}"
