time,event_types,replanning_count,destroyed_target_ids,disappeared_target_ids,damaged_uav_ids,available_target_count,available_uav_count,completed_cluster_count,total_cluster_count,metadata
360.0,[],2,[],[3],[11],199,40,0,6,"{'destroyed_this_step': [], 'cluster_status': {4: 'en_route', 5: 'en_route', 3: 'en_route', 0: 'en_route', 2: 'en_route', 1: 'en_route'}, 'cluster_positions': {4: [49.44505985990712, -111200.03612229809], 5: [53.99169540347106, -111200.04019471258], 3: [-4.671409952548573, -111200.00656648517], 0: [-318.20222177943134, -111202.04307672923], 2: [87.62899985899767, -111200.8579104424], 1: [-20.7189703217107, -111200.37370658957]}, 'uav_status_counts': {'en_route': 31, 'available': 9, 'damaged': 1}}"
390.0,[],2,[],[3],[11],199,40,0,6,"{'destroyed_this_step': [], 'cluster_status': {4: 'en_route', 5: 'en_route', 3: 'en_route', 0: 'en_route', 2: 'en_route', 1: 'en_route'}, 'cluster_positions': {4: [52.42771703579132, -108800.03797633531], 5: [58.429339652756575, -108800.04429749529], 3: [-6.391443507475523, -108800.0071866279], 0: [-348.8576248245985, -108802.23915320035], 2: [107.90203056601496, -108800.94371496128], 1: [-31.157587064637493, -108800.39663270552]}, 'uav_status_counts': {'en_route': 31, 'available': 9, 'damaged': 1}}"
420.0,[],2,[],[3],[11],199,40,0,6,"{'destroyed_this_step': [], 'cluster_status': {4: 'en_route', 5: 'en_route', 3: 'en_route', 0: 'en_route', 2: 'en_route', 1: 'en_route'}, 'cluster_positions': {4: [55.4103742116755, -106400.03983037251], 5: [62.86698390204209, -106400.04840027803], 3: [-8.111477062402475, -106400.00780677062], 0: [-379.51302786976566, -106402.43522967151], 2: [128.17506127303224, -106401.02951948013], 1: [-41.59620380756427, -106400.41955882148]}, 'uav_status_counts': {'en_route': 31, 'available': 9, 'damaged': 1}}"
450.0,[],2,[],[3],[11],199,40,0,6,"{'destroyed_this_step': [], 'cluster_status': {4: 'en_route', 5: 'en_route', 3: 'en_route', 0: 'en_route', 2: 'en_route', 1: 'en_route'}, 'cluster_positions': {4: [58.39303138755971, -104000.04168440972], 5: [67.3046281513276, -104000.05250306078], 3: [-9.831510617329426, -104000.00842691331], 0: [-410.1684309149328, -104002.63130614263], 2: [148.4480919800495, -104001.11532399902], 1: [-52.034820550491055, -104000.44248493742]}, 'uav_status_counts': {'en_route': 31, 'available': 9, 'damaged': 1}}"
480.0,[],2,[],[3],[11],199,40,0,6,"{'destroyed_this_step': [], 'cluster_status': {4: 'en_route', 5: 'en_route', 3: 'en_route', 0: 'en_route', 2: 'en_route', 1: 'en_route'}, 'cluster_positions': {4: [61.37568856344391, -101600.04353844693], 5: [71.74227240061312, -101600.05660584349], 3: [-11.551544172256376, -101600.00904705604], 0: [-440.8238339601, -101602.82738261379], 2: [168.72112268706675, -101601.20112851792], 1: [-62.47343729341785, -101600.46541105339]}, 'uav_status_counts': {'en_route': 31, 'available': 9, 'damaged': 1}}"
510.0,[],2,[],[3],[11],199,40,0,6,"{'destroyed_this_step': [], 'cluster_status': {4: 'en_route', 5: 'en_route', 3: 'en_route', 0: 'en_route', 2: 'en_route', 1: 'en_route'}, 'cluster_positions': {4: [64.35834573932812, -99200.04539248413], 5: [76.17991664989863, -99200.06070862625], 3: [-13.271577727183328, -99200.00966719877], 0: [-471.4792370052671, -99203.02345908494], 2: [188.99415339408407, -99201.28693303677], 1: [-72.91205403634464, -99200.48833716933]}, 'uav_status_counts': {'en_route': 31, 'available': 9, 'damaged': 1}}"
540.0,[],2,[],[3],[11],199,40,0,6,"{'destroyed_this_step': [], 'cluster_status': {4: 'en_route', 5: 'en_route', 3: 'en_route', 0: 'en_route', 2: 'en_route', 1: 'en_route'}, 'cluster_positions': {4: [67.34100291521231, -96800.04724652134], 5: [80.61756089918416, -96800.06481140897], 3: [-14.991611282110277, -96800.01028734147], 0: [-502.13464005043437, -96803.21953555607], 2: [209.26718410110135, -96801.37273755565], 1: [-83.35067077927143, -96800.51126328525]}, 'uav_status_counts': {'en_route': 31, 'available': 9, 'damaged': 1}}"
570.0,[],2,[],[3],[11],199,40,0,6,"{'destroyed_this_step': [], 'cluster_status': {4: 'en_route', 5: 'en_route', 3: 'en_route', 0: 'en_route', 2: 'en_route', 1: 'en_route'}, 'cluster_positions': {4: [70.3236600910965, -94400.04910055854], 5: [85.05520514846967, -94400.0689141917], 3: [-16.71164483703723, -94400.01090748417], 0: [-532.7900430956015, -94403.41561202722], 2: [229.54021480811863, -94401.45854207453], 1: [-93.78928752219822, -94400.53418940124]}, 'uav_status_counts': {'en_route': 31, 'available': 9, 'damaged': 1}}"
600.0,[],2,[],[3],[11],199,40,0,6,"{'destroyed_this_step': [], 'cluster_status': {4: 'en_route', 5: 'en_route', 3: 'en_route', 0: 'en_route', 2: 'en_route', 1: 'en_route'}, 'cluster_positions': {4: [73.3063172669807, -92000.05095459575], 5: [89.49284939775517, -92000.07301697443], 3: [-18.43167839196418, -92000.01152762689], 0: [-563.4454461407688, -92003.61168849838], 2: [249.81324551513592, -92001.54434659341], 1: [-104.227904265125, -92000.55711551716]}, 'uav_status_counts': {'en_route': 31, 'available': 9, 'damaged': 1}}"
630.0,[],2,[],[3],[11],199,40,0,6,"{'destroyed_this_step': [], 'cluster_status': {4: 'en_route', 5: 'en_route', 3: 'en_route', 0: 'en_route', 2: 'en_route', 1: 'en_route'}, 'cluster_positions': {4: [76.2889744428649, -89600.05280863296], 5: [93.93049364704069, -89600.07711975717], 3: [-20.151711946891133, -89600.01214776962], 0: [-594.100849185936, -89603.8077649695], 2: [270.0862762221532, -89601.63015111229], 1: [-114.6665210080518, -89600.58004163312]}, 'uav_status_counts': {'en_route': 31, 'available': 9, 'damaged': 1}}"
660.0,[],2,[],[3],[11],199,40,0,6,"{'destroyed_this_step': [], 'cluster_status': {4: 'en_route', 5: 'en_route', 3: 'en_route', 0: 'en_route', 2: 'en_route', 1: 'en_route'}, 'cluster_positions': {4: [79.2716316187491, -87200.05466267015], 5: [98.36813789632622, -87200.08122253991], 3: [-21.871745501818083, -87200.01276791234], 0: [-624.7562522311032, -87204.00384144064], 2: [290.3593069291705, -87201.71595563115], 1: [-125.10513775097859, -87200.60296774907]}, 'uav_status_counts': {'en_route': 31, 'available': 9, 'damaged': 1}}"
690.0,[],2,[],[3],[11],199,40,0,6,"{'destroyed_this_step': [], 'cluster_status': {4: 'en_route', 5: 'en_route', 3: 'en_route', 0: 'en_route', 2: 'en_route', 1: 'en_route'}, 'cluster_positions': {4: [82.2542887946333, -84800.05651670735], 5: [102.80578214561172, -84800.08532532265], 3: [-23.591779056745036, -84800.01338805504], 0: [-655.4116552762703, -84804.19991791178], 2: [310.63233763618774, -84801.80176015003], 1: [-135.54375449390537, -84800.62589386503]}, 'uav_status_counts': {'en_route': 31, 'available': 9, 'damaged': 1}}"
720.0,[],2,[],[3],[11],199,40,0,6,"{'destroyed_this_step': [], 'cluster_status': {4: 'en_route', 5: 'en_route', 3: 'en_route', 0: 'en_route', 2: 'en_route', 1: 'en_route'}, 'cluster_positions': {4: [85.23694597051748, -82400.05837074456], 5: [107.24342639489721, -82400.08942810538], 3: [-25.311812611671986, -82400.01400819776], 0: [-686.0670583214376, -82404.39599438294], 2: [330.9053683432051, -82401.88756466891], 1: [-145.98237123683217, -82400.64881998098]}, 'uav_status_counts': {'en_route': 31, 'available': 9, 'damaged': 1}}"
750.0,[],2,[],[3],[11],199,40,0,6,"{'destroyed_this_step': [], 'cluster_status': {4: 'en_route', 5: 'en_route', 3: 'en_route', 0: 'en_route', 2: 'en_route', 1: 'en_route'}, 'cluster_positions': {4: [88.21960314640168, -80000.06022478177], 5: [111.68107064418274, -80000.0935308881], 3: [-27.031846166598935, -80000.01462834049], 0: [-716.7224613666046, -80004.59207085408], 2: [351.17839905022237, -80001.97336918779], 1: [-156.42098797975896, -80000.67174609692]}, 'uav_status_counts': {'en_route': 31, 'available': 9, 'damaged': 1}}"
780.0,[],2,[],[3],[11],199,40,0,6,"{'destroyed_this_step': [], 'cluster_status': {4: 'en_route', 5: 'en_route', 3: 'en_route', 0: 'en_route', 2: 'en_route', 1: 'en_route'}, 'cluster_positions': {4: [91.2022603222859, -77600.06207881897], 5: [116.11871489346827, -77600.09763367086], 3: [-28.751879721525885, -77600.01524848319], 0: [-747.3778644117717, -77604.78814732522], 2: [371.4514297572397, -77602.05917370666], 1: [-166.85960472268573, -77600.69467221286]}, 'uav_status_counts': {'en_route': 31, 'available': 9, 'damaged': 1}}"
810.0,[],2,[],[3],[11],199,40,0,6,"{'destroyed_this_step': [], 'cluster_status': {4: 'en_route', 5: 'en_route', 3: 'en_route', 0: 'en_route', 2: 'en_route', 1: 'en_route'}, 'cluster_positions': {4: [94.18491749817008, -75200.06393285618], 5: [120.55635914275376, -75200.10173645358], 3: [-30.47191327645284, -75200.0158686259], 0: [-778.033267456939, -75204.98422379637], 2: [391.72446046425694, -75202.14497822554], 1: [-177.2982214656125, -75200.71759832882]}, 'uav_status_counts': {'en_route': 31, 'available': 9, 'damaged': 1}}"
840.0,[],2,[],[3],[11],199,40,0,6,"{'destroyed_this_step': [], 'cluster_status': {4: 'en_route', 5: 'en_route', 3: 'en_route', 0: 'en_route', 2: 'en_route', 1: 'en_route'}, 'cluster_positions': {4: [97.16757467405426, -72800.06578689339], 5: [124.99400339203929, -72800.1058392363], 3: [-32.191946831379795, -72800.01648876861], 0: [-808.6886705021061, -72805.18030026752], 2: [411.9974911712743, -72802.23078274442], 1: [-187.7368382085393, -72800.74052444477]}, 'uav_status_counts': {'en_route': 31, 'available': 9, 'damaged': 1}}"
870.0,[],2,[],[3],[11],199,40,0,6,"{'destroyed_this_step': [], 'cluster_status': {4: 'en_route', 5: 'en_route', 3: 'en_route', 0: 'en_route', 2: 'en_route', 1: 'en_route'}, 'cluster_positions': {4: [100.15023184993848, -70400.0676409306], 5: [129.43164764132484, -70400.10994201904], 3: [-33.91198038630674, -70400.01710891134], 0: [-839.3440735472732, -70405.37637673866], 2: [432.2705218782915, -70402.31658726328], 1: [-198.1754549514661, -70400.76345056073]}, 'uav_status_counts': {'en_route': 31, 'available': 9, 'damaged': 1}}"
900.0,[],2,[],[3],[11],199,40,0,6,"{'destroyed_this_step': [], 'cluster_status': {4: 'en_route', 5: 'en_route', 3: 'en_route', 0: 'en_route', 2: 'en_route', 1: 'en_route'}, 'cluster_positions': {4: [103.13288902582266, -68000.0694949678], 5: [133.86929189061036, -68000.11404480178], 3: [-35.632013941233694, -68000.01772905405], 0: [-869.9994765924404, -68005.5724532098], 2: [452.5435525853089, -68002.40239178216], 1: [-208.6140716943929, -68000.78637667667]}, 'uav_status_counts': {'en_route': 31, 'available': 9, 'damaged': 1}}"
